                  Temp     Hi    Low   Out    Dew  Wind  Wind  Wind    Hi    Hi   Wind   Heat    THW   THSW                Rain  Solar   Solar Hi Solar    Heat    Cool    In     In    In     In     In   In Air          Wind  Wind    ISS   Arc.
  Date    Time     Out   Temp   Temp   Hum    Pt. Speed   Dir   Run Speed   Dir  Chill  Index  Index  Index   Bar    Rain  Rate   Rad.  Energy    Rad.     D-D     D-D    Temp   Hum    Dew   Heat    EMC Density     ET   Samp   Tx   Recept  Int.
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
12/31/20 12:05a   25.8   25.9   25.8    60   13.8   0.0   ---  0.00   0.0   ---   25.8   25.2   25.2   21.6   828.8  0.00  0.00     0     0.00      0     0.136   0.000   69.2    12   14.4   63.7   2.95  .0612    0.000   116    1    100.0    5 
12/31/20 12:10a   25.8   25.8   25.8    60   13.8   0.0   WNW  0.00   2.0   WNW   25.8   25.2   25.2   21.6   828.7  0.00  0.00     0     0.00      0     0.136   0.000   69.4    12   14.5   64.0   2.95  .0611    0.000   117    1    100.0    5 
12/31/20 12:15a   25.7   25.8   25.7    60   13.7   0.0   ---  0.00   0.0   ---   25.7   25.1   25.1   21.5   828.6  0.00  0.00     0     0.00      0     0.136   0.000   69.6    12   14.7   64.2   2.95  .0611    0.000   117    1    100.0    5 
12/31/20 12:20a   25.6   25.7   25.6    60   13.6   0.0   WNW  0.00   2.0   WNW   25.6   25.0   25.0   21.4   828.6  0.00  0.00     0     0.00      0     0.137   0.000   69.4    12   14.5   64.0   2.95  .0611    0.000   117    1    100.0    5 
12/31/20 12:25a   25.5   25.6   25.5    61   13.9   0.0   ---  0.00   0.0   ---   25.5   25.0   25.0   21.4   828.7  0.00  0.00     0     0.00      0     0.137   0.000   69.0    12   14.2   63.5   2.95  .0612    0.000   117    1    100.0    5 
12/31/20 12:30a   25.6   25.6   25.5    61   14.0   0.0   ---  0.00   0.0   ---   25.6   25.1   25.1   21.5   828.7  0.00  0.00     0     0.00      0     0.137   0.000   69.0    12   14.2   63.5   2.95  .0612    0.000   117    1    100.0    5 
12/31/20 12:35a   25.5   25.7   25.5    62   14.3   0.0   WNW  0.00   1.0   WNW   25.5   25.0   25.0   21.4   828.6  0.00  0.00     0     0.00      0     0.137   0.000   69.2    12   14.4   63.7   2.95  .0611    0.000   118    1    100.0    5 
12/31/20 12:40a   25.6   25.6   25.5    62   14.4   0.0   WNW  0.00   2.0   WNW   25.6   25.1   25.1   21.5   828.5  0.00  0.00     0     0.00      0     0.137   0.000   69.4    12   14.5   64.0   2.95  .0611    0.000   117    1    100.0    5 
12/31/20 12:45a   25.8   25.8   25.6    62   14.6   0.0   ---  0.00   0.0   ---   25.8   25.3   25.3   21.7   828.5  0.00  0.00     0     0.00      0     0.136   0.000   69.6    12   14.7   64.2   2.95  .0611    0.000   117    1    100.0    5 
